,ZIP,date_start - date_end,Predicted new cases,cases/population * 10000
230,90033,2020/4/20 - 2020/4/23,9.311592,1.956915727
231,90033,2020/4/21 - 2020/4/24,9.846786,2.069391494
232,90033,2020/4/22 - 2020/4/25,3.0328631,0.637383759
233,90033,2020/4/23 - 2020/4/26,-0.9082055,-0.190867644
234,90033,2020/4/24 - 2020/4/27,1.4026122,0.294771706
235,90033,2020/4/25 - 2020/4/28,6.979227,1.466748012
236,90033,2020/4/26 - 2020/4/29,6.684576,1.404824419
237,90033,2020/4/27 - 2020/4/30,6.4057093,1.346218033
238,90033,2020/4/28 - 2020/5/1,11.387299,2.393144313
239,90033,2020/4/29 - 2020/5/2,8.756983,1.840359541
240,90033,2020/4/30 - 2020/5/3,10.323511,2.169579708
241,90033,2020/5/1 - 2020/5/4,5.9380484,1.247934843
242,90033,2020/5/2 - 2020/5/5,10.977531,2.307028021
243,90033,2020/5/3 - 2020/5/6,14.406094,3.027571527
244,90033,2020/5/4 - 2020/5/7,11.647253,2.447776104
245,90033,2020/5/5 - 2020/5/8,11.060247,2.324411538
246,90033,2020/5/6 - 2020/5/9,11.700738,2.459016446
247,90033,2020/5/7 - 2020/5/10,7.979955,1.677060126
248,90033,2020/5/8 - 2020/5/11,3.594913,0.755503647
249,90033,2020/5/9 - 2020/5/12,6.8727727,1.444375658
250,90033,2020/5/10 - 2020/5/13,13.615171,2.861352044
251,90033,2020/5/11 - 2020/5/14,11.603041,2.438484479
252,90033,2020/5/12 - 2020/5/15,10.788975,2.267401123
253,90033,2020/5/13 - 2020/5/16,12.492881,2.62549247
254,90033,2020/5/14 - 2020/5/17,8.951708,1.881282777
255,90033,2020/5/15 - 2020/5/18,9.954284,2.091983211
256,90033,2020/5/16 - 2020/5/19,8.46489,1.778973483
257,90033,2020/5/17 - 2020/5/20,26.32737,5.532936067
258,90033,2020/5/18 - 2020/5/21,13.512492,2.839773066
259,90033,2020/5/19 - 2020/5/22,13.596345,2.857395487
260,90033,2020/5/20 - 2020/5/23,19.586956,4.116376862
261,90033,2020/5/21 - 2020/5/24,17.54961,3.688210104
262,90033,2020/5/22 - 2020/5/25,20.182268,4.241487116
263,90033,2020/5/23 - 2020/5/26,27.506104,5.780657696
264,90033,2020/5/24 - 2020/5/27,21.638342,4.547494253
265,90033,2020/5/25 - 2020/5/28,16.383747,3.443193389
266,90033,2020/5/26 - 2020/5/29,14.787049,3.10763283
267,90039,2020/3/22 - 2020/3/25,1.6278511,0.550154155
268,90039,2020/3/23 - 2020/3/26,1.9223787,0.64969369
269,90039,2020/3/24 - 2020/3/27,2.9124146,0.984289618
270,90039,2020/3/27 - 2020/3/30,1.1431983,0.386359205
271,90039,2020/3/28 - 2020/3/31,2.5843115,0.87340278
272,90039,2020/3/29 - 2020/4/1,1.7410197,0.588401002
273,90039,2020/3/30 - 2020/4/2,0.9780762,0.330553996
274,90039,2020/3/31 - 2020/4/3,1.3361025,0.451553782
275,90039,2020/4/1 - 2020/4/4,1.276175,0.431300491
276,90039,2020/4/2 - 2020/4/5,2.9086628,0.983021662
277,90039,2020/4/3 - 2020/4/6,1.9307154,0.652511218
278,90039,2020/4/4 - 2020/4/7,4.8321576,1.633092572
279,90039,2020/4/5 - 2020/4/8,4.8166595,1.62785476
280,90039,2020/4/6 - 2020/4/9,6.2837715,2.123684989
281,90039,2020/4/7 - 2020/4/10,5.184435,1.752149411
282,90039,2020/4/8 - 2020/4/11,4.857297,1.641588747
283,90039,2020/4/9 - 2020/4/12,6.239853,2.108842105
284,90039,2020/4/10 - 2020/4/13,3.224376,1.089721168
285,90039,2020/4/11 - 2020/4/14,4.454052,1.505306692
286,90039,2020/4/12 - 2020/4/15,2.7407868,0.926285711
287,90039,2020/4/13 - 2020/4/16,3.5002437,1.182954363
288,90039,2020/4/14 - 2020/4/17,2.8501472,0.963245546
289,90039,2020/4/15 - 2020/4/18,3.0606167,1.034376536
290,90039,2020/4/16 - 2020/4/19,2.9856482,1.009039898
291,90039,2020/4/17 - 2020/4/20,2.1014328,0.710207442
292,90039,2020/4/18 - 2020/4/21,6.1975975,2.094561325
293,90039,2020/4/19 - 2020/4/22,5.1234074,1.731524338
294,90039,2020/4/20 - 2020/4/23,3.8617573,1.305132745
